SampleLabel,SampleType,CarbonationState,Condition,ClLevel_wtPct_NaCl,ClLevel_wtPct_Cl_by_cement,Repeat,E_corr_V_vs_SCE,i_corr_uA_per_cm2,beta_a_V_per_dec,beta_c_V_per_dec,ConditionTime_or_RH
7C,Mortar,Carbonated,Submerged,5,2.24,3,-0.594,7.489,0.35,-0.278,Submerged
NP,SPS,Non-carbonated,72h,0,0,1,-0.198,0.545,3.057,-0.329,72h
NP,SPS,Non-carbonated,72h,0,0,2,-0.203,0.348,1.719,-0.218,72h
NP,SPS,Non-carbonated,72h,0,0,3,-0.163,0.119,0.654,-0.178,72h
NP,SPS,Non-carbonated,72h,0.5,0.21,1,-0.477,5.254,1.2,-0.505,72h
NP,SPS,Non-carbonated,72h,0.5,0.21,2,-0.495,3.78,1.453,-0.337,72h
NP,SPS,Non-carbonated,72h,0.5,0.21,3,-0.256,0.261,1.224,-0.187,72h
NP,SPS,Non-carbonated,72h,1,0.43,1,-0.4,5.593,1.266,-0.745,72h
NP,SPS,Non-carbonated,72h,1,0.43,2,-0.538,6.448,1.32,-0.477,72h
NP,SPS,Non-carbonated,72h,1,0.43,3,-0.526,4.615,1.624,-0.42,72h
NP,SPS,Non-carbonated,72h,2,0.87,1,-0.283,2.63,1.722,-0.475,72h
NP,SPS,Non-carbonated,72h,2,0.87,2,-0.516,5.838,1.604,-0.371,72h
NP,SPS,Non-carbonated,72h,2,0.87,3,-0.304,0.462,0.246,-0.166,72h
NP,SPS,Non-carbonated,72h,3,1.31,1,-0.357,5.424,0.446,-0.855,72h
NP,SPS,Non-carbonated,72h,3,1.31,2,-0.529,10.289,1.34,-0.597,72h
NP,SPS,Non-carbonated,72h,3,1.31,3,-0.392,1.078,0.491,-0.221,72h
NP,SPS,Non-carbonated,72h,5,2.24,1,-0.578,4.913,0.693,-0.36,72h
NP,SPS,Non-carbonated,72h,5,2.24,2,-0.56,10.292,0.339,-1.315,72h
NP,SPS,Non-carbonated,72h,5,2.24,3,-0.56,12.06,0.429,-1.314,72h
NP,SPS,Non-carbonated,20d,0,0,1,-0.218,0.235,0.167,-0.242,20d
NP,SPS,Non-carbonated,20d,0,0,2,-0.252,0.32,0.504,-0.239,20d
NP,SPS,Non-carbonated,20d,0,0,3,-0.299,0.551,1.071,-0.234,20d
NP,SPS,Non-carbonated,20d,0.5,0.21,1,-0.555,1.172,0.106,-0.189,20d
NP,SPS,Non-carbonated,20d,0.5,0.21,2,-0.544,1.007,0.126,-0.201,20d
NP,SPS,Non-carbonated,20d,0.5,0.21,3,-0.555,1.906,0.35,-0.265,20d
NP,SPS,Non-carbonated,20d,1,0.43,1,-0.581,3.056,0.274,-0.291,20d
NP,SPS,Non-carbonated,20d,1,0.43,2,-0.577,2.939,0.289,-0.29,20d
NP,SPS,Non-carbonated,20d,1,0.43,3,-0.548,2.106,0.188,-0.279,20d
NP,SPS,Non-carbonated,20d,2,0.87,1,-0.62,6.081,0.321,-0.375,20d
NP,SPS,Non-carbonated,20d,2,0.87,2,-0.591,4.935,0.285,-0.401,20d
NP,SPS,Non-carbonated,20d,2,0.87,3,-0.628,8.081,0.321,-0.419,20d
NP,SPS,Non-carbonated,20d,3,1.31,1,-0.603,5.046,0.293,-0.339,20d
NP,SPS,Non-carbonated,20d,3,1.31,2,-0.596,6.111,0.405,-0.402,20d
NP,SPS,Non-carbonated,20d,3,1.31,3,-0.628,5.147,0.32,-0.363,20d
NP,SPS,Non-carbonated,20d,5,2.24,1,-0.606,6.237,0.279,-0.429,20d
NP,SPS,Non-carbonated,20d,5,2.24,2,-0.623,2.407,0.209,-0.237,20d
NP,SPS,Non-carbonated,20d,5,2.24,3,-0.612,3.184,0.229,-0.276,20d
CP,SPS,Carbonated,36h,0,0,1,-0.128,0.578,1.579,-0.14,36h
CP,SPS,Carbonated,36h,0,0,2,-0.056,0.294,2.469,-0.19,36h
CP,SPS,Carbonated,36h,0,0,3,-0.102,0.32,0.312,-0.139,36h
CP,SPS,Carbonated,36h,0.5,0.21,1,-0.381,5.459,0.142,-0.399,36h
CP,SPS,Carbonated,36h,0.5,0.21,2,-0.362,6.144,0.131,-0.371,36h
CP,SPS,Carbonated,36h,0.5,0.21,3,-0.368,1.929,0.122,-0.212,36h
CP,SPS,Carbonated,36h,1,0.43,1,-0.397,5.619,0.119,-0.347,36h
CP,SPS,Carbonated,36h,1,0.43,2,-0.425,1.633,0.095,-0.179,36h
CP,SPS,Carbonated,36h,1,0.43,3,-0.428,3.057,0.093,-0.28,36h
CP,SPS,Carbonated,36h,2,0.87,1,-0.46,5.852,0.151,-0.39,36h
CP,SPS,Carbonated,36h,2,0.87,2,-0.462,10.23,0.209,-0.869,36h
CP,SPS,Carbonated,36h,2,0.87,3,-0.447,6.389,0.157,-0.402,36h
CP,SPS,Carbonated,36h,3,1.31,1,-0.459,5.401,0.145,-0.41,36h
CP,SPS,Carbonated,36h,3,1.31,2,-0.452,8.136,0.194,-0.635,36h
CP,SPS,Carbonated,36h,3,1.31,3,-0.442,9.304,0.233,-0.616,36h
CP,SPS,Carbonated,36h,5,2.24,1,-0.503,4.914,0.139,-0.606,36h
CP,SPS,Carbonated,36h,5,2.24,2,-0.507,7.318,0.165,-1.546,36h
CP,SPS,Carbonated,36h,5,2.24,3,-0.473,9.166,0.223,-0.819,36h
CP,SPS,Carbonated,20d,0,0,1,-0.081,0.13,0.181,-0.137,20d
CP,SPS,Carbonated,20d,0,0,2,-0.129,0.198,0.362,-0.12,20d
CP,SPS,Carbonated,20d,0,0,3,-0.082,0.133,0.137,-0.141,20d
CP,SPS,Carbonated,20d,0.5,0.21,1,-0.403,8.76,0.421,-0.205,20d
CP,SPS,Carbonated,20d,0.5,0.21,2,-0.409,9.436,0.553,-0.226,20d
CP,SPS,Carbonated,20d,0.5,0.21,3,-0.4,8.877,0.576,-0.229,20d
CP,SPS,Carbonated,20d,1,0.43,1,-0.465,22.156,0.548,-0.311,20d
CP,SPS,Carbonated,20d,1,0.43,2,-0.507,20.808,0.375,-0.259,20d
CP,SPS,Carbonated,20d,1,0.43,3,-0.463,16.333,0.398,-0.257,20d
CP,SPS,Carbonated,20d,2,0.87,1,-0.491,25.506,0.569,-0.322,20d
CP,SPS,Carbonated,20d,2,0.87,2,-0.493,19.239,0.427,-0.28,20d
CP,SPS,Carbonated,20d,2,0.87,3,-0.495,19.318,0.341,-0.262,20d
CP,SPS,Carbonated,20d,3,1.31,1,-0.521,20.085,0.419,-0.405,20d
CP,SPS,Carbonated,20d,3,1.31,2,-0.476,18.426,0.554,-0.311,20d
CP,SPS,Carbonated,20d,3,1.31,3,-0.486,19.797,0.559,-0.305,20d
CP,SPS,Carbonated,20d,5,2.24,1,-0.548,16.673,0.328,-0.597,20d
CP,SPS,Carbonated,20d,5,2.24,2,-0.544,13.28,0.311,-0.623,20d
CP,SPS,Carbonated,20d,5,2.24,3,-0.505,20.828,0.544,-0.363,20d
